project_id,area_sqft,floors,bedrooms,bathrooms,location,location_tier,location_encoded,quality_tier,quality_encoded,construction_type,total_cost,cost_per_sqft,cement_cost,steel_cost,labor_cost,data_source
PROJ_house-price-dataset-of-india_House Price India_cleaned_0027,880,1.0,2,1.0,880,Tier2,1,7,2,Residential,490000,556.8181818181819,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0029,2210,1.0,5,2.5,2210,Tier2,1,8,2,Residential,470000,212.66968325791856,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0030,1710,1.0,3,1.75,1710,Tier2,1,7,2,Residential,463000,270.7602339181287,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0033,1270,3.0,3,2.5,1270,Tier2,1,8,2,Residential,445700,350.9448818897638,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0034,2160,1.0,4,2.25,2160,Tier2,1,8,2,Residential,440000,203.7037037037037,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0035,800,1.0,2,1.0,800,Tier2,1,7,2,Residential,440000,550.0,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0036,1770,2.0,3,2.5,1770,Tier2,1,8,2,Residential,439950,248.5593220338983,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0037,1970,2.0,3,2.25,1970,Tier2,1,9,2,Residential,437500,222.08121827411168,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0038,1770,3.0,3,2.5,1770,Tier2,1,8,2,Residential,436110,246.38983050847457,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0039,1450,1.0,4,1.0,1450,Tier2,1,7,2,Residential,435000,300.0,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0040,1920,1.0,4,1.5,1920,Tier2,1,7,2,Residential,430000,223.95833333333334,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0041,2000,1.0,3,2.25,2000,Tier2,1,8,2,Residential,420000,210.0,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0042,1570,1.0,3,1.5,1570,Tier2,1,7,2,Residential,419000,266.8789808917197,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0043,1930,2.0,3,2.5,1930,Tier2,1,8,2,Residential,407500,211.13989637305698,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0044,1960,1.0,3,2.0,1960,Tier2,1,8,2,Residential,403000,205.6122448979592,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0046,1320,2.0,3,3.25,1320,Tier2,1,8,2,Residential,385000,291.6666666666667,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0047,1560,1.0,4,1.75,1560,Tier2,1,7,2,Residential,382500,245.19230769230768,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0049,1090,1.0,3,1.0,1090,Tier2,1,7,2,Residential,365000,334.86238532110093,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0051,1350,1.0,2,2.0,1350,Tier2,1,8,2,Residential,335000,248.14814814814815,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0052,1580,1.0,3,2.25,1580,Tier2,1,7,2,Residential,335000,212.0253164556962,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0053,1160,1.0,3,1.0,1160,Tier2,1,7,2,Residential,315000,271.55172413793105,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0054,1340,1.5,3,1.5,1340,Tier2,1,7,2,Residential,313000,233.5820895522388,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0055,850,1.0,2,1.0,850,Tier2,1,7,2,Residential,308500,362.94117647058823,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0062,1180,1.0,3,1.5,1180,Tier2,1,6,2,Residential,275000,233.05084745762713,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0065,1200,1.0,3,1.5,1200,Tier2,1,7,2,Residential,242500,202.08333333333334,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0067,2920,2.0,4,2.75,2920,Tier2,1,8,2,Residential,625000,214.04109589041096,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0068,900,1.0,2,1.0,900,Tier2,1,7,2,Residential,553000,614.4444444444445,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0069,1650,1.0,3,2.5,1650,Tier2,1,7,2,Residential,379880,230.23030303030302,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0070,1010,1.0,3,1.0,1010,Tier2,1,6,2,Residential,310000,306.9306930693069,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0071,2850,2.0,3,2.5,2850,Tier2,1,10,2,Residential,783500,274.9122807017544,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0072,2680,1.0,2,2.5,2680,Tier2,1,9,2,Residential,775000,289.17910447761193,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0073,2280,1.0,4,2.0,2280,Tier2,1,7,2,Residential,628000,275.43859649122805,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0077,2220,2.0,2,2.5,2220,Tier2,1,9,2,Residential,1430000,644.1441441441441,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0078,4010,2.0,5,3.5,4010,Tier2,1,9,2,Residential,1400000,349.1271820448878,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0079,4340,2.5,4,2.5,4340,Tier2,1,11,2,Residential,1090000,251.1520737327189,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0080,3190,1.0,5,2.75,3190,Tier2,1,9,2,Residential,1030000,322.88401253918494,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0081,1330,1.0,3,1.0,1330,Tier2,1,7,2,Residential,900000,676.6917293233083,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0082,4420,2.0,4,4.25,4420,Tier2,1,10,2,Residential,890000,201.35746606334843,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0084,3690,2.0,4,3.0,3690,Tier2,1,10,2,Residential,865000,234.41734417344173,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0085,2600,1.0,4,2.75,2600,Tier2,1,8,2,Residential,855000,328.84615384615387,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0086,2170,2.0,4,3.0,2170,Tier2,1,9,2,Residential,831000,382.94930875576034,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0087,3400,2.0,4,2.5,3400,Tier2,1,9,2,Residential,830000,244.11764705882354,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0088,2920,2.5,6,1.75,2920,Tier2,1,9,2,Residential,823000,281.8493150684931,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0089,3180,2.0,5,2.5,3180,Tier2,1,10,2,Residential,800866,251.8446540880503,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0090,3240,2.0,3,2.5,3240,Tier2,1,10,2,Residential,800000,246.91358024691357,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0091,1330,1.0,3,1.75,1330,Tier2,1,8,2,Residential,787000,591.7293233082706,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0092,2730,2.0,4,2.5,2730,Tier2,1,9,2,Residential,780000,285.7142857142857,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0093,2350,1.5,3,2.0,2350,Tier2,1,8,2,Residential,770000,327.6595744680851,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0094,2120,1.0,4,2.5,2120,Tier2,1,7,2,Residential,755000,356.1320754716981,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0095,2010,1.5,4,1.75,2010,Tier2,1,7,2,Residential,740000,368.1592039800995,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0096,3180,2.0,4,2.5,3180,Tier2,1,9,2,Residential,736500,231.60377358490567,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0097,2450,2.0,4,2.5,2450,Tier2,1,8,2,Residential,712198,290.6930612244898,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0098,2490,2.0,3,2.5,2490,Tier2,1,9,2,Residential,705380,283.285140562249,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0099,1680,3.0,3,2.5,1680,Tier2,1,9,2,Residential,670000,398.8095238095238,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0100,2800,1.0,4,2.5,2800,Tier2,1,8,2,Residential,665000,237.5,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0101,1390,1.0,4,1.0,1390,Tier2,1,7,2,Residential,657100,472.7338129496403,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0102,2160,1.0,3,1.5,2160,Tier2,1,8,2,Residential,650000,300.9259259259259,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0103,2440,2.0,4,2.5,2440,Tier2,1,9,2,Residential,631625,258.86270491803276,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0104,1990,1.0,4,2.25,1990,Tier2,1,8,2,Residential,627000,315.0753768844221,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0105,1480,2.5,3,1.75,1480,Tier2,1,9,2,Residential,620000,418.9189189189189,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0106,1800,1.0,3,2.0,1800,Tier2,1,7,2,Residential,618500,343.6111111111111,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0107,2300,1.0,4,1.75,2300,Tier2,1,9,2,Residential,615000,267.39130434782606,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0108,1670,1.0,3,1.75,1670,Tier2,1,8,2,Residential,600000,359.2814371257485,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0109,1880,1.0,3,1.75,1880,Tier2,1,7,2,Residential,600000,319.1489361702128,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0110,1770,1.5,2,1.0,1770,Tier2,1,6,2,Residential,585000,330.50847457627117,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0111,2540,1.0,2,1.0,2540,Tier2,1,8,2,Residential,580000,228.3464566929134,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0112,2010,1.0,3,2.25,2010,Tier2,1,8,2,Residential,570000,283.5820895522388,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0113,1900,2.0,3,2.5,1900,Tier2,1,8,2,Residential,560000,294.7368421052632,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0114,1940,2.0,3,2.5,1940,Tier2,1,8,2,Residential,555000,286.08247422680415,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0115,1140,1.0,2,1.0,1140,Tier2,1,7,2,Residential,549000,481.57894736842104,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0118,1270,2.0,2,3.0,1270,Tier2,1,8,2,Residential,531000,418.1102362204724,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0119,2550,1.0,5,1.75,2550,Tier2,1,7,2,Residential,525888,206.2305882352941,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0120,1560,1.0,3,1.75,1560,Tier2,1,6,2,Residential,524000,335.8974358974359,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0121,1790,2.0,3,2.5,1790,Tier2,1,8,2,Residential,509900,284.86033519553075,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0122,2070,1.0,4,1.0,2070,Tier2,1,7,2,Residential,501000,242.02898550724638,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0125,2010,1.0,4,1.75,2010,Tier2,1,7,2,Residential,487585,242.57960199004975,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0126,2340,1.0,4,3.0,2340,Tier2,1,8,2,Residential,485000,207.26495726495727,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0128,1480,1.5,4,2.0,1480,Tier2,1,7,2,Residential,449250,303.5472972972973,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0129,1840,1.0,5,2.0,1840,Tier2,1,7,2,Residential,435000,236.41304347826087,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0130,1590,2.0,2,2.5,1590,Tier2,1,8,2,Residential,419190,263.64150943396226,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0131,1410,1.5,3,2.0,1410,Tier2,1,7,2,Residential,418000,296.45390070921985,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0132,1408,3.0,3,2.5,1408,Tier2,1,8,2,Residential,416286,295.65767045454544,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0133,1620,2.5,3,2.25,1620,Tier2,1,8,2,Residential,415000,256.17283950617286,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0134,1800,1.0,3,2.25,1800,Tier2,1,8,2,Residential,410000,227.77777777777777,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0135,1410,3.0,3,2.25,1410,Tier2,1,8,2,Residential,406100,288.01418439716315,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0136,1410,2.0,2,3.0,1410,Tier2,1,8,2,Residential,405000,287.2340425531915,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0138,840,1.0,2,1.0,840,Tier2,1,7,2,Residential,400000,476.1904761904762,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0142,1571,3.0,3,3.0,1571,Tier2,1,8,2,Residential,366750,233.45003182686187,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0143,1120,1.5,5,1.0,1120,Tier2,1,7,2,Residential,340000,303.57142857142856,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0144,1160,2.0,2,1.5,1160,Tier2,1,7,2,Residential,340000,293.1034482758621,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0145,1140,1.5,2,1.0,1140,Tier2,1,6,2,Residential,329950,289.4298245614035,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0149,1050,1.0,3,2.0,1050,Tier2,1,7,2,Residential,300000,285.7142857142857,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0158,810,1.0,2,1.0,810,Tier2,1,6,2,Residential,206000,254.320987654321,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0160,4510,2.0,5,4.0,4510,Tier2,1,10,2,Residential,1870000,414.6341463414634,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0161,4490,2.0,5,5.0,4490,Tier2,1,10,2,Residential,1800000,400.89086859688194,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0162,3760,1.5,4,3.25,3760,Tier2,1,9,2,Residential,1580000,420.21276595744683,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0163,3490,2.0,4,2.25,3490,Tier2,1,10,2,Residential,1230000,352.4355300859599,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0164,3370,1.0,4,2.75,3370,Tier2,1,9,2,Residential,1140000,338.27893175074183,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0165,2200,2.0,3,2.5,2200,Tier2,1,9,2,Residential,1050000,477.27272727272725,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0166,2690,3.0,3,2.5,2690,Tier2,1,10,2,Residential,979000,363.9405204460966,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0167,3020,2.0,3,3.5,3020,Tier2,1,9,2,Residential,910000,301.3245033112583,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0168,3740,2.0,4,2.0,3740,Tier2,1,9,2,Residential,860000,229.94652406417111,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0169,3040,2.0,4,2.5,3040,Tier2,1,8,2,Residential,776000,255.26315789473685,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0171,2290,2.0,4,2.5,2290,Tier2,1,9,2,Residential,736000,321.3973799126638,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0172,3200,2.0,4,2.5,3200,Tier2,1,10,2,Residential,725126,226.601875,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0173,3030,2.0,4,2.5,3030,Tier2,1,9,2,Residential,685000,226.07260726072607,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0174,930,1.0,2,1.0,930,Tier2,1,6,2,Residential,675000,725.8064516129032,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0176,1630,1.0,3,1.5,1630,Tier2,1,7,2,Residential,650000,398.7730061349693,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0178,2060,1.0,4,2.0,2060,Tier2,1,7,2,Residential,612500,297.33009708737865,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0179,2450,1.0,4,3.0,2450,Tier2,1,8,2,Residential,610000,248.9795918367347,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0180,2150,2.0,4,2.5,2150,Tier2,1,9,2,Residential,609000,283.25581395348837,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0181,2110,2.0,4,2.5,2110,Tier2,1,9,2,Residential,606000,287.2037914691943,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0182,2260,2.0,4,2.25,2260,Tier2,1,8,2,Residential,599000,265.04424778761063,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0184,2130,1.0,3,1.75,2130,Tier2,1,8,2,Residential,575000,269.9530516431925,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0187,2000,2.0,3,2.0,2000,Tier2,1,7,2,Residential,561000,280.5,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0188,1850,2.0,3,2.5,1850,Tier2,1,8,2,Residential,535000,289.18918918918916,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0189,1800,1.5,5,2.75,1800,Tier2,1,7,2,Residential,533000,296.1111111111111,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0192,2460,2.0,3,2.5,2460,Tier2,1,8,2,Residential,520000,211.3821138211382,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0193,1430,1.0,3,1.5,1430,Tier2,1,7,2,Residential,518000,362.23776223776224,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0194,1790,2.0,3,2.5,1790,Tier2,1,8,2,Residential,515000,287.70949720670393,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0195,2000,2.0,4,2.5,2000,Tier2,1,8,2,Residential,513000,256.5,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0196,1480,3.0,3,2.5,1480,Tier2,1,8,2,Residential,500000,337.8378378378378,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0197,1170,1.0,2,1.75,1170,Tier2,1,7,2,Residential,499000,426.4957264957265,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0198,2020,1.5,5,2.0,2020,Tier2,1,7,2,Residential,488000,241.58415841584159,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0199,1420,1.5,3,2.0,1420,Tier2,1,7,2,Residential,485000,341.5492957746479,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0200,1660,1.0,2,1.75,1660,Tier2,1,7,2,Residential,484000,291.56626506024094,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0203,1030,1.0,2,1.0,1030,Tier2,1,7,2,Residential,469000,455.3398058252427,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0204,1970,1.0,3,2.25,1970,Tier2,1,8,2,Residential,465000,236.04060913705584,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0205,1230,2.0,2,2.25,1230,Tier2,1,8,2,Residential,460000,373.9837398373984,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0206,2240,1.0,5,2.5,2240,Tier2,1,7,2,Residential,455000,203.125,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0207,1100,1.5,2,2.0,1100,Tier2,1,7,2,Residential,450000,409.09090909090907,0.0,0.0,0.0,Unknown
PROJ_house-price-dataset-of-india_House Price India_cleaned_0208,1520,1.0,4,2.0,1520,Tier2,1,7,2,Residential,425000,279.60526315789474,0.0,0.0,0.0,Unknown
